text_hindi,sentiment
"अभी भी मेरी सिमफिंगर समस्या के बारे में कोई जवाब नहीं है, इसलिए जब तक मुझे कोई प्रतिक्रिया नहीं मिलती, तब तक कोई इराप पैरोडी वीडियो नहीं, क्षमा करें दोस्तों",negative
हैप्पी स्टार वार्स डे हर कोई!और हॉलिडे (यूके) का आनंद लें,positive
एसेक्स में आप से मील मैं `एम से मुझे बहुत चेतावनी दें ताकि मैं कम से कम उन मुक्त बियर में से एक प्राप्त करने के लिए समय पर पहुंच सकूं।,neutral
"उसका खर्राट इतना कष्टप्रद है n यह मुझे सोने से रोकता है (जैसे अभी, योग्य) लेकिन मैं ईमानदारी से यह याद करता हूं कि अगर यह ईवा ने उसे प्यार किया तो मैं उसे प्यार करता हूं।",neutral
मुझे तुम्हारी याद आती है बेबी काश तुम मुझे अच्छा करने के लिए कल जा रहे थे।,negative
"अच्छी तरह से im क्या काम कर रहा है isn`t सार्वजनिक रूप से (अभी भी बीटा परीक्षण) के बारे में पोस्ट करने के लिए तैयार है, लेकिन इसकी एक अच्छी नई स्क्रिप्ट मैंने कोडित किया है",positive
मीठा - सैन फ्रांसिस्को कमाल है !!!!इसे प्यार करो,positive
_Mounce हाँ और यह मेरे सोने के समय तक रहता है!,neutral
हाय आप कैसे हैं ???*बस ट्विटर में शामिल हुए ...*,neutral
सोने की गोलियों की प्रतीक्षा में किक करने के लिए ... कल काम पर इतना थक जाना चाहिए,negative
आइसक्रीम खाना और फिर स्नातक के लिए तैयार होना।,neutral
हैप्पी मदर्स डे आप सभी को वहाँ से बाहर निकालते हैं,positive
"केसी के चले गए?!?!लेकिन क्यों?!इसलिए, उसने कालीन पर थोड़ा सा भाग लिया।वह बहुत ही नया कारण है, यह नया है।क्या हम उसे वापस पा सकते हैं?",negative
गांजा कपड़ा अद्भुत है लेकिन दुर्भाग्य से नहीं,negative
गोना एक कहानी बाउट एडम लैंबर्ट ऑनलाइन फिर बिस्तर पढ़ें।शुभ रात्रि,neutral
हमने देखा कि नॉन 3 डी में - सबसे अच्छा है,positive
सुबह 4 बजे।और समुद्र तट पर im।सुंदर,positive
"निश्चित रूप से चीयर्स नहीं, हुह?",neutral
"1 सप्ताह मेरे भयानक, दर्दनाक कूदने वाले चोल दुर्घटना।आउच!",negative
मैं वास्तव में बाहर जाना चाहता था क्योंकि यह बहुत अच्छा है लेकिन हर कोई व्यस्त है,negative
बहुत बढ़िया।मैं ओशन बीच में नीचे (यदि आप जानते हैं कि वह कहां है।) वैसे।'Yourbiggestfan' मैं `आप का एक बड़ा प्रशंसक-आरएस का एक बड़ा प्रशंसक है।,positive
कम से कम मुझे समय के साथ देखने के लिए मिलता है।,neutral
कूल मैं ज्यादातर समय काला पहनता हूं जब मैं बाहर जाता हूं,neutral
हाहा मुझे नहीं पता कि कैसे काम करने के लिए स्पष्ट से अलग काम करना है!मेरे गाने को फिर से तैयार करने के लिए धन्यवाद एक अच्छा दिन है ****,positive
एक सुरक्षित यात्रा जोशी पू। ....... आप अपने भाषण में उन्हें मृत कर देंगे,positive
"Woof, काश मुझे जाने की अनुमति दी गई थी",positive
"अगर यू एक फ्रेंडस्टर है तो मुझे जोड़ें !!!!!!!!!मेरे ईमेल एड्रेस ने मुझे LOCO_CRIME_1ST.com जोड़ें, मुझे कुछ टिप्पणी दें",neutral
टिकट .......?,neutral
"धन्यवाद, अफरीन नाक स्प्रे!इसके अलावा, मुझे आज रात एक विशाल चायपत्ती मिली!",positive
ACSM।यह अथाह है।मुझे लगता है कि दूसरा एक .. और .. एक है जिसे हमारे बेडरूम के आराम के लिए रखा जाना चाहिए।हाँ?,neutral
"Aww, मैं अपने डैडी से प्यार करता हूँ!वह लगभग पूरे दिन सप्ताह में 7 दिन काम करता है और अभी भी हम सभी के साथ एसएफ जाने की कोशिश करता है",positive
इतने सारे परीक्षण आज मैं किसी के बारे में आश्वस्त महसूस नहीं करता।,negative
ग्रेजुएशन किया जाता है कि मैं थोड़ा दुखी हूं .. कोई भी बाहर घूमना चाहता है ???,negative
Hahaa आपका बहुत बढ़िया!,positive
पवित्र धुआं!स्टार ट्रेक भयानक ईईई को भयावह कर रहा था,positive
"मुझे नफरत है 3 यह मुझे कूदता रहता है, मैं भी स्वास्थ्य, पैसा, बारूद और भोजन पर कम है, मैं इसके माध्यम से प्राप्त करने के लिए चिंता करता हूं।",neutral
"मेरे पास था!मेरे iTunes पर, लेकिन फिर मैंने अपने सभी गाने खो दिए।",neutral
उदास मौसम के साथ क्या?सूरज को बाहर आने के लिए बहुत थक जाना चाहिए और कुछ आवेग खरीदने के लिए विक्टोरिया गार्डन में जा रहे हैं,neutral
"अगले सप्ताह के लिए आगे नहीं देख रहे हैं: गणित, भूगोल, अंग्रेजी और फ्रेंच परीक्षा, कुल 7 घंटे",negative
"गरीब आप बाहर निकलते हैं और बगीचे में सोते हैं, सूरज आपको अच्छा करेगा।लेकिन सनस्क्रीन मत भूलना !!!",negative
अच्छा नहीं,negative
एक प्रोब हन नहीं,positive
"डैड्स में, कुछ टीवी देख रहे हैं और मैं एक मिनट में सिम 2 पर जा रहा हूं",neutral
बिल्कुल,neutral
क्या मामला चिकीडे है?,neutral
हे मिया!पूरी तरह से अपने संगीत को निहारें।आपकी सीडी कब होगी?,positive
"खरीदारी।सफाई।Bmfing।भतीजे के साथ वेबकैम चैटिंग।कुछ भी नहीं, लेकिन एक अच्छा बैंक अवकाश सोमवार को फिर भी",positive
= ओ आपको उससे कुछ पूछने की ज़रूरत है?Lmao मैं उसे भी प्यार करता हूँ,positive
वे स्प्लिंटर्स बहुत दर्दनाक दिखते हैं ... लेकिन आप बहुत ही वीर सेविंग एमआर थे।अचार,negative
आप का शोक क्या है,negative
आपको ट्वीट करते हुए देखकर अच्छा लगा!यह रविवार 10 मई है और हम आज यहाँ माँ के दिन मना रहे हैं।तो अपनी माँ के लिए अच्छा हो,positive
"फैसला किया 2 ट्रांस frm ने 2 प्राकृतिक बालों को आराम दिया, लेकिन काश मेरा पूरा सिर मेरी जड़ों की तरह दिखता।तत्काल संतुष्टि की उम्र…।",positive
नामास्कर और नामस्टी आर दोनों एक ही।मराठी लोग कहते हैं कि नमास्कर!यह एक मराठी शब्द है .... shoud i?... नाआआ!,neutral
"बधाई!मैं कुछ ही मिनटों में इस तरह से cuss, लेकिन अब तक नहीं जानता कि इसके लिए एक इनाम है।",neutral
हास्य और डोरिटो .... ओह हाँ,neutral
"सभी भयानक मौसम को याद किया, क्योंकि वह एक फिल्म में थी!",negative
आज मैं आशा के लिए एक सामान्य दिन होने जा रहा हूं।हमारे पास एक बड़ी एयरलाइन से पायलटों का एक समूह था जो कल रात में आया था इसलिए यह बहुत ज्यादा पेय था,neutral
"ये बच्चे भयानक हैं!अगर मैं अच्छे इवांस में होता, तो मैं चाइल्डलाइन कहता हूं",negative
"दुर्भाग्य से, एर लिंगस अब कोपेनहेगन के लिए नहीं उड़ता है, इसलिए हमें Ryanair को बिलुंड के लिए उड़ान भरना पड़ता है और कोपेनहेगन को एक दिनों में ड्राइव करना पड़ता है!",negative
"क्या दुखी है कि मुझे वास्तव में उस शब्द को Google करना था।वह बेकार है, थो।",negative
नफरत से लड़ना,negative
"मैंने भी देखा था !!!मैं उसे जीतना नहीं चाहती थी, लेकिन उसने एक अच्छी लड़ाई की।",neutral
गले में खराश की तरह कार-गर्म स्प्राइट स्वाद,negative
क्रॉस कंट्री में बस 11 वें स्थान पर आया और डंबो को हराया,neutral
कैंडल वैक्स बहुत सुखद है।,positive
"वह अनसुनी और अनियंत्रित है।वह बस, के रूप में है।मुझे लगता है कि वह क्यों वह बहुत प्यार करती है-क्योंकि हम उससे संबंधित हो सकते हैं",positive
"कल वेलेरिया का दोपहर का भोजन !!!मेरे बाल करने के लिए जा रहे हैं, लेकिन मैं देर से पहुंच रहा हूं मेरे चचेरे भाई का बपतिस्मा मिला या जो भी आप इसे जादू करते हैं",neutral
गूड मॉर्निंग ट्वीट्स !!मेरे वर्कआउट के सप्ताह तीन।क्या मैंने उल्लेख किया है कि मुझे कल अपना नया चश्मा मिला है?,positive
मैं भी।मुझे अपने कंप्यूटर से बहुत नफरत है ।।,negative
अच्छा!आज 20 या इतने मील की दूरी पर मेरा बिग वॉक करने जा रहा है,positive
मुझे लाल क्रूजर चाहिए !!मैं अन्य लोगों की तरह नहीं।Lmfao!,negative
Mmmmmmmm ...?यह सुबह में,neutral
न ही मैं,neutral
रविवार को करने के लिए लगभग 10 घंटे काम करते हैं।बू।मुझे दो घंटे के लंच ब्रेक के लिए समय मिलेगा।साल,neutral
बग्गर।भूल गया कि मैं अभी भी अपनी मशीन में धो रहा हूं,negative
"लॉरी आपको और परिवार की शांति के लिए प्यार, आशीर्वाद और उपचार के विचार भेजना",positive
मेरी पीठ दर्द होता है ... वास्तव में बुरा,negative
"आह हाँ, मुझे पता है कि भावना",neutral
मेरे पिताजी के साथ कुकर की रात,neutral
मेरा मॉडेम अब एक सप्ताह के लिए ऑफ़लाइन है ... भगवान 3 जी नेटवर्क को आशीर्वाद दें।टिम बस छोड़ दिया ... फिर से !!मई शेड्यूल क्रूर रहा है,negative
नहीं मैं कोक्विटलम में हूं,neutral
कल माता -पिता शिक्षक की बात थी !!शनिवार को स्कूल जा रहा है !!ज़ोर-ज़ोर से हंसना,negative
#lichfield #tweetup लगता है कि मजेदार आशा है कि आप और बाकी सभी को देखने के लिए!,positive
बिग बूमिंग थंडर स्टॉर्म लगभग यहाँ।शायद हम सब जल्दी घर जा सकते हैं ???आह ... शायद नहीं।,neutral
कुछ bevvies 2 दिन दस में..गाम एक दिन की छुट्टी पर !!,positive
मायर्स में पहली रात।बस एक ही w/बाहर lydia नहीं!लेकिन मैं वास्तव में इस गर्मी के बारे में उत्साहित हूं!,positive
शुभ प्रभात,positive
यह अब तक का सबसे अच्छा शो है!,positive
"पिछली पोस्ट में URL (टाइमर नौकरी करने के लिए) http://bit.ly/a4fdb होना चाहिए।मैंने `डी को हटा दिया, जिसने URL को गड़बड़ कर दिया।^Es",negative
मुझे लगता है कि IV ने मेरे दांत को चोट पहुंचाई और Eilish और Cassie कुकीज़ को आकर्षित करने के लिए एक ड्राइंग प्रतियोगिता कर रहे हैं और अनानास है: l।,neutral
मैं जानना चाहता हूं कि ऑडिशन कब मंडर हैं!पाठ या ... कृपया उत्तर दें!,neutral
या यहां तक ​​कि nooooo नहीं गुप्त नामेरेबका कृपया,negative
मुझे याद है कि मेरी भतीजी उसे बुरे और बढ़ने के लिए इंतजार नहीं कर सकती है ****!ज़ोर-ज़ोर से हंसना,negative
मुझे अपने कंप्यूटर को ठीक करने की आवश्यकता है,neutral
वास्तव में उम्मीद है कि उसकी कार की बीमारी टर्मिनल नहीं है ...,negative
"आज मैं जिन शांत लोगों को ढूंढना चाहता हूं, वे आज #ENGLISH हैं, और मुझे लगता है कि अंग्रेजी डॉन `ट्वीट है।",neutral
नहीं सर ... मैं शहद डालूंगा ... लेकिन मेरे पास कोई नहीं है,neutral
एक्स-मेन ओरिजिन्स को किसने देखा: वूल्वरिन?मैं पूरी तरह से इसे प्यार करता था!हाहा,positive
मैंने मतदान किया !!!क्या आपके पास एक व्यक्तिगत माइस्पेस है?मैं फेक I <3 आप से बात करता रहता हूं।यू ने मुझे अपने जीवन के समय के समय तक मदद की!(: एक्स,positive
मैं दुखी हूँ कि मैं कल रात तुम लोगों को याद किया!,negative
अंत में 3 दिन देर से शादी परामर्श के लिए एक फोन आया ...।,neutral
तो ठीक है,neutral
_420 बच्चे क्यों?,neutral
आज मेरे लिए हाई स्कूल का आखिरी दिन था और मैंने घर बीमार होकर समाप्त कर दिया!... बेवकूफ मृत चूहों,negative
हम एक impromptu पूल पार्टी कर रहे हैं ... सिवाय इसके कि मैं नहीं जानता कि कैसे तैरना है तो मैं अंदर नहीं जा सकता,neutral
"जब मैं गम खा रहा था, तब मेरा दाँत खो दिया था",negative
1 साल मुबारक हो!<3,positive
"ओह, मैं हेला अपनी आधिकारिक सुप्रभात कहना भूल गया कि यह सुनना पसंद है?और यह ऐसा हो गया!GOOOOOOOOOOOOOOD MORRRRRRRRRRRRRRRRRRRRRING TWITTERVILLE!ज़ोर-ज़ोर से हंसना",positive
* phew* एक नोट बनाएगा यदि कोई और एक ही अंक में चलाता है,neutral
मेरा क्या ??मैं आपके लिए हर दिन वोट देता हूं !!!!!,negative
"मैं भूखा हूँ !!यह आहार मुझे मार रहा है, लेकिन मैं रात 8 बजे के बाद नहीं खा सकता",negative
मेरी बातचीत तुमसे होती है,neutral
मैं बहुत ऊब गया हूँ ... im मेरे संगीत चैनलों को याद कर रहा हूँ,negative
नाइट नाइट बडे गर्ल कॉन्सर्ट में मज़े करते हैं,positive
"4 घंटे के लिए निकोटीन प्रतिस्थापन पैच था।अब तक, इतना अच्छा है, लेकिन मैं उन 4 घंटों में से अधिकांश के लिए सोता था।अब थोड़ा चिकोटी हो रही है",neutral
_Sanderson क्या हाल ही में twatter के साथ?या तो मैं नहीं कर सकता या जवाब नहीं दिया!,neutral
सोना चाहिए।एक दिन पहले मेरी आवाज खो दी।,negative
http://twitpic.com/66xlm - नफरत जब मेरी पार्क की गई कार हिट हो जाती है,negative
मैंने इस गिरावट को सुना।मैं भी इंतजार कर रहा हूँ!,neutral
अधिक बुरे सपने?*huggles*,neutral
मैं इस तरह का एक लता हूं मैं इसकी वजह से निराश महसूस करता हूं।**** मेरे साइबरस्टॉकिंग कौशल इंटरनेट = कोई और अधिक गोपनीयता नहीं।,negative
देर से बिस्तर पर जा रहे हैं और मुझे सिरदर्द है,negative
सभी माताओं के लिए खुश माँ का दिन ...,positive
तब से कॉफी हथियाने से माँ को नाश्ता करना,neutral
Im सोच रहा है कि im आज रात मज़े करने जा रहा है .... और शायद कुछ बदलाव आ रहे हैं,positive
धन्यवाद।प्रमुख चॉप से ​​पहले।,neutral
"हाहा मुझे पता है, मैं प्रसिद्धि को संभाल नहीं सकता!और धन्यवाद!",positive
बस उठकर मेरे आइपॉड को अपडेट किया,neutral
हाँ!सोबर हाहाहा तांगलिंग तपत दोस्त!हाहा जंगली।इससे पहले कि आप हमारे पास जाने से पहले मैं नहीं जानता!,positive
हम कभी भी icarly याद नहीं करते हैं - मेरे बेटे को मिरांडा पर बहुत बड़ा क्रश है,positive
जेम्स कारविले को आज स्टोर में देखा।उसका सिर वास्तव में है कि गंजा है,neutral
पीला के लिए?http://blip.fm/~5z05g,neutral
जिसका मतलब है कि आप बस वैंकूवर वापस आने के लिए जा रहे हैं और यह हमारा रास्ता है!हाहाह,neutral
क्रोम की तरह चिकनी लग रहा है,positive
ईडब्ल्यू यातायात,negative
"गाने डाउनलोड करना एक लिल होमवर्क को भी चुपके से करने की कोशिश करते हुए, जो मेरी मुख्य प्राथमिकता होनी चाहिए न कि गाने योग्य",neutral
@_Ra_ra_ आपका अकेले नहीं ... मुझे कॉफी की भी जरूरत है।,neutral
मुझे लगता है,neutral
"बुरे दिन जिस दिन आपको एहसास होता है कि आपने मुझे क्या गड़बड़ कर दिया है, जो मुझे मेरे जीवन के सबसे खुशी के दिनों में से एक होगा ...",neutral
कक्षा में चलना।मुझे बाइक नहीं होने से नफरत है .... विशेष रूप से मेरा।,negative
_nesmith,neutral
"असफल निरीक्षण।क्या आप जानते हैं कि आप WO/OVEN को पास कर सकते हैं, लेकिन WO/एंटी-टिप ब्रैकेट नहीं, जो केवल w/ओवन बेचा जाता है?यह करों से भी बदतर है।",negative
"जोनास ब्रदर्स - लाइव टू पार्टी।यह बहुत मुश्किल से मुझे गाने से प्यार है,",positive
दुनिया की सभी माताओं को हैप्पी मदर का दिन।,positive
"1hr 20mins Google वेव डेमो के माध्यम से 35mins, जो बहुत मजेदार दिखता है, हालांकि इसका परीक्षण करना पसंद करेगा।http://bit.ly/wnmsc",positive
स्लीप टैबज़ बिस्तर पर जा रहा है।मजेदार रात!Joss`d के अगले एपिसोड के माध्यम से सुना!,positive
एक छोटे दोस्त के लिए अपवाद: लारेनज टेट यम,neutral
"समीक्षाओं को पेंच, मुझे लगा कि वूल्वरिन कमाल का था।लेकिन मेरी पसंद के लिए पर्याप्त डोमिनिक मोनाघन नहीं।",positive
"यदि आपने हाल ही में हमारा अनुसरण किया है, तो कृपया नाराज न हों कि हम वापस आ गए।हमने अपनी सीमा मारा।उम्मीद है कि हम जल्द ही मुक्त हो जाएंगे।",positive
हां मैं 6 से 3 काम करता हूं ...,neutral
"हम्म, शायद कि वे क्या मतलब है।वे कुछ नया करने के लिए प्रेरित थे, लेकिन आप जानते हैं कि मीडिया कैसे है",neutral
स्पा में अब कुछ देर से दोपहर के भोजन के लिए विक से मिल रहा है!,neutral
सोमवार को और आज तवारे में जाने के बारे में हैप्पी।आशा है कि सभी के पास एक धन्य दिन है!,positive
हमेशा ओज़ के पास जाना चाहता था,neutral
Thx,neutral
http://twitpic.com/4jaz5 - कूल ... लव इट,positive
कि मुझे वहाँ होने की आवश्यकता है ... ब्लैकबेरी का प्रतिनिधित्व करने के लिए,positive
"ठीक है, इसलिए मैं अपने 300 वें ट्वीट को इस तथ्य के लिए समर्पित कर रहा हूं कि मैं Apple स्टोर पर जा रहा हूं क्योंकि ग्लास स्क्रीन पर एक बड़ी दरार है!",neutral
यदि केवल हम वास्तव में कभी भी यहां रहने और ऐसा करने की अनुमति दे सकते हैं,neutral
मुझे पता है कि यह कैसे निकलता है !!,neutral
क्या वह सास मैं पता लगा रहा था?जब तक यह वापस sass नहीं है!हाहा,neutral
"हाँ, मैं उस बारे में सोच रहा था, अहा",positive
स्पोर्ट्स बार शट्राननपोली रेस्ट पीएच 26498457 ऑल स्पोर्ट्स बार andheri W 267333333 नहीं पता कि क्या यह मदद करता है।Google की जय हो,neutral
मैं अपनी माफी स्वीकार करने तक बिल्कुल भी नहीं सो रहा हूं,negative
